u,v,highway,lanes,maxspeed,length,geometry
42426747,279151954,primary,3,25,80.92675407762661,"LINESTRING (-74.0128371 40.7024415, -74.0128591 40.7024315, -74.0128829 40.7024241, -74.012906 40.7024194, -74.0129335 40.7024168, -74.0132927 40.7023967, -74.0135306 40.7023818, -74.0135904 40.7023795, -74.0136578 40.7023806, -74.0137015 40.7023849, -74.0137834 40.7024066)"
42426747,42444355,residential,1,25,77.36703976748407,"LINESTRING (-74.0128371 40.7024415, -74.0128618 40.7025405, -74.0129525 40.7028762, -74.0129898 40.7030142, -74.0130055 40.7030699, -74.0130194 40.7031234)"
42427236,42427242,residential,1,25,215.6131997670068,"LINESTRING (-74.0058474 40.7116883, -74.0058167 40.71166, -74.0056719 40.7115274, -74.0056076 40.7114677, -74.005537 40.7114023, -74.0053968 40.7112718, -74.0051452 40.7110418, -74.0050914 40.7109897, -74.0043205 40.7102537, -74.0042431 40.7101781)"
42427242,42459820,residential,2,25,35.53628627970813,"LINESTRING (-74.0042431 40.7101781, -74.0041872 40.7102264, -74.003965 40.7104183)"
42427242,42457311,residential,2,25,75.14827973864018,"LINESTRING (-74.0042431 40.7101781, -74.0042988 40.7101294, -74.0044324 40.7100085, -74.0046859 40.7097856, -74.0047833 40.7097015, -74.004822 40.7096642)"
42427249,42427251,unclassified,1,25,95.0020029395593,"LINESTRING (-74.0064417 40.7070101, -74.0064426 40.7069962, -74.0064403 40.7069828, -74.006434 40.7069705, -74.0064263 40.7069629, -74.0058213 40.7064814, -74.0057889 40.7064562, -74.0056937 40.7063813)"
42427249,42444424,residential,1,25,41.96573810149499,"LINESTRING (-74.0064417 40.7070101, -74.0064815 40.7069849, -74.0065111 40.7069609, -74.0067252 40.7067819, -74.0067819 40.706735)"
42427251,42427254,unclassified,1,25,58.871956884194496,"LINESTRING (-74.0056937 40.7063813, -74.005589 40.7062985, -74.0053095 40.7060786, -74.0052799 40.7060547, -74.0052685 40.7060456, -74.0052076 40.7060012)"
42427251,42454798,primary,4,25,37.717625505545804,"LINESTRING (-74.0056937 40.7063813, -74.0059583 40.7061955, -74.0060206 40.7061497)"
42427251,42440350,primary,4,25,77.53788176021146,"LINESTRING (-74.0056937 40.7063813, -74.0051039 40.7067936, -74.0050152 40.7068521)"
42427254,42427256,residential,1,25,90.39924326295738,"LINESTRING (-74.0052076 40.7060012, -74.005155 40.7059604, -74.0048632 40.7057214, -74.004574 40.7054883, -74.0045497 40.7054688, -74.0045411 40.7054619, -74.0044743 40.705408)"
42427254,42452708,residential,1,25,34.520343194374526,"LINESTRING (-74.0052076 40.7060012, -74.0052445 40.7059768, -74.0054463 40.7058445, -74.0055192 40.7057998)"
42427256,42440356,primary,2,25,65.98367337226264,"LINESTRING (-74.0044743 40.705408, -74.0041842 40.705591, -74.0040565 40.7056737, -74.0039263 40.7057584, -74.0038751 40.7057898)"
42427256,42444242,primary,2,25,30.225612345016025,"LINESTRING (-74.0044743 40.705408, -74.0046527 40.7052912, -74.0047485 40.7052329)"
42427278,4561384853,secondary,2,25,60.272507069885826,"LINESTRING (-74.0035657 40.7135883, -74.0035151 40.7136381, -74.0034742 40.7136758, -74.0034211 40.7137243, -74.0033619 40.7137734, -74.003297 40.7138205, -74.0032414 40.713857, -74.003181 40.7138925, -74.003111 40.7139287, -74.0030498 40.7139579)"
42427278,9121386338,unclassified,1,25,11.090097386704299,"LINESTRING (-74.0035657 40.7135883, -74.0035697 40.7136009, -74.0035778 40.7136149, -74.0035891 40.7136264, -74.0036108 40.713643, -74.003649 40.7136604)"
42427300,42445466,residential,3,25,92.27453360345285,"LINESTRING (-74.0021038 40.7151561, -74.0022427 40.7152201, -74.0022985 40.7152462, -74.0025779 40.7153816, -74.0028422 40.7155076, -74.0029045 40.7155349, -74.0030354 40.7155918)"
42427300,42425955,residential,2,25,159.26780575644514,"LINESTRING (-74.0021038 40.7151561, -74.0020108 40.7151118, -74.0019865 40.7151004, -74.0019583 40.7150873, -74.0011476 40.7147059, -74.0005958 40.714442, -74.0005026 40.7143955)"
42427300,42427305,secondary,1,25,75.13062670532469,"LINESTRING (-74.0021038 40.7151561, -74.0020653 40.7152195, -74.0020553 40.715236, -74.0018609 40.7155124, -74.0017663 40.7156404, -74.0017328 40.7156817, -74.0016779 40.7157492)"
42427305,42445474,residential,1,25,90.30457657120748,"LINESTRING (-74.0016779 40.7157492, -74.0017351 40.7157862, -74.0017725 40.7158101, -74.0017932 40.7158233, -74.002397 40.7161219, -74.0024523 40.7161418, -74.0024944 40.7161567, -74.0025774 40.7161862)"
42427305,42427307,secondary,1,25,150.19180359314927,"LINESTRING (-74.0016779 40.7157492, -74.0016358 40.715801, -74.0016238 40.7158157, -74.0012709 40.7162926, -74.0012161 40.7163679, -74.0008887 40.7168168, -74.0008528 40.7168702, -74.0008126 40.7169298)"
42427307,42427311,secondary,1,25,89.75582198075892,"LINESTRING (-74.0008126 40.7169298, -74.0007714 40.7169909, -74.0007581 40.7170106, -74.0003278 40.7175432, -74.0003064 40.7175699, -74.0002647 40.7176217)"
42427307,42445481,residential,1,25,77.95941833722246,"LINESTRING (-74.0008126 40.7169298, -74.0009058 40.716976, -74.0014208 40.7172341, -74.0014696 40.7172591, -74.0015083 40.717279, -74.0015833 40.7173175)"
42427311,42447255,tertiary,1,25,76.15956289649196,"LINESTRING (-74.0002647 40.7176217, -74.0001886 40.7175904, -74.0001429 40.7175726, -73.9995817 40.7173728, -73.9995217 40.7173535, -73.9994477 40.7173295)"
42427311,42427316,secondary,2,25,51.391942735165486,"LINESTRING (-74.0002647 40.7176217, -74.0002255 40.7176716, -74.0000622 40.7178793, -74.0000272 40.7179239, -73.9999527 40.7180188)"
42427316,42427319,secondary,1,25,87.16439839917795,"LINESTRING (-73.9999527 40.7180188, -73.9998757 40.71811, -73.9996593 40.7183861, -73.9994874 40.7185953, -73.9994552 40.7186357, -73.9994121 40.718687)"
42427316,5706569898,trunk,4,25,69.57744881107573,"LINESTRING (-73.9999527 40.7180188, -74.0000374 40.7180792, -74.0000967 40.7181214, -74.0004095 40.7183435, -74.0004538 40.7183761, -74.0005519 40.7184492)"
42427316,42440810,trunk,4,25,74.95621282877906,"LINESTRING (-73.9999527 40.7180188, -73.9998819 40.7179685, -73.9998298 40.7179313, -73.9993632 40.7175932, -73.9993088 40.7175538)"
