u,v,highway,lanes,maxspeed,length,geometry
1035417918,1035419557,residential,1,30,31.225513022695782,
1035417918,4204187943,residential,1,30,45.86295690671223,"LINESTRING (74.6256309 26.4613832, 74.6257708 26.4611811, 74.6258162 26.4610112)"
1035417918,4193428712,residential,1,30,126.25052600923887,"LINESTRING (74.6256309 26.4613832, 74.6252654 26.4609421, 74.6251635 26.4608809, 74.6251018 26.4608905, 74.6247145 26.461128)"
1035417930,1035419001,residential,1,30,59.47940885668502,
1035417930,8594445921,unclassified,1,30,131.1157663968942,"LINESTRING (74.5984554 26.4818332, 74.5984367 26.48173, 74.598375 26.4811754, 74.5983642 26.4808825, 74.5983884 26.4807961, 74.5984512 26.4807022, 74.5984731 26.4806856)"
1035417931,1035417799,residential,1,30,19.43284651484724,
1035417931,1035419789,residential,1,30,24.06272215749682,
1035417931,1035417878,residential,1,30,105.98538333413755,
1035417932,1035419002,residential,1,30,7.409589943989169,
1035417932,1035418411,residential,1,30,28.83939011149989,
1035417932,1035418687,residential,1,30,58.95340981611241,
1035417933,1035419287,residential,1,30,37.67590774988265,
1035417933,1035419910,residential,1,30,56.069691422135804,
1035417933,4201938459,residential,1,30,41.82330558940527,
1035417938,8594348169,residential,1,30,45.47360941067552,
1035417938,1035419269,unclassified,1,30,97.46494464496627,
1035417938,1035418232,unclassified,1,30,16.3419708267438,
1035417947,4202024831,residential,1,30,39.629654628632935,
1035417947,1035418174,residential,1,30,39.337011296815085,
1035417947,4202024806,residential,1,30,122.27482227360782,
1035417949,1035419310,residential,1,30,52.577233221342254,
1035417949,1035419817,residential,1,30,88.72618051061264,
1035417949,1035418511,residential,1,30,131.30667937688855,"LINESTRING (74.6058966 26.4655155, 74.6062312 26.4653819, 74.6062875 26.4653771, 74.6063411 26.4654035, 74.6063733 26.4654419, 74.6064468 26.4656357, 74.6066606 26.466092)"
1035417959,4201938350,residential,1,30,13.716655965160113,
1035417959,9660478964,residential,1,30,16.53338037684111,
1035417959,8594195633,residential,1,30,35.57568552335655,"LINESTRING (74.6009269 26.4705993, 74.6007473 26.4707318, 74.6006994 26.4707653, 74.6006444 26.4707944)"
1035417960,4191435890,residential,1,30,16.7686082040144,
1035417960,4198190895,residential,1,30,19.32750592750992,
1035417960,1035583278,residential,1,30,59.75875638423268,
1035417961,4202024805,residential,1,30,41.84884103740585,
1035417961,1035419992,residential,1,30,56.64847908015084,
1035417961,1035419478,residential,1,30,148.1900715318771,
1035417964,1035417831,residential,1,30,60.9232927176674,
1035417964,8602041929,residential,1,30,48.77353122771822,
1035417964,4202024864,residential,1,30,71.72197119017946,"LINESTRING (74.6064388 26.4779201, 74.6061467 26.4779865, 74.6057819 26.4781714)"
1035417966,1035418728,unclassified,1,30,8.540286526755443,
1035417966,4204668861,tertiary,1,30,17.332145122332562,
1035417966,4192995757,tertiary,1,30,41.95076113049033,
1035417970,1035419022,residential,1,30,54.18569845658713,
1035417970,9660471093,residential,1,30,23.088079485760463,
1035417970,1035419935,residential,1,30,52.387365073775264,
1035417978,4193428747,residential,1,30,81.8281510940441,
1035417978,4206971791,tertiary,2,30,146.40130618186305,"LINESTRING (74.6397535 26.4709259, 74.6400556 26.4707401, 74.6403842 26.4705661, 74.6410279 26.4702724)"
